"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.838899520E-1,-5.539498329E-1,-8.965253830E-2,8.644580841E-3,5.612243079E-1
8.889593270E-1,-5.036635399E-1,-2.155631185E-1,-1.432671547E-1,5.662772263E-1
8.940284410E-1,-4.913349152E-1,-3.548769355E-1,-3.491668701E-1,6.994749040E-1
8.990978160E-1,-5.046072006E-1,-4.718656540E-1,-5.862441063E-1,9.060727203E-1
9.041672430E-1,-5.314660072E-1,-5.643929243E-1,-8.553423882E-1,1.154385590E0
9.092366180E-1,-5.401391983E-1,-5.755292177E-1,-1.083213329E0,1.340274357E0
9.143095350E-1,-5.869698524E-1,-5.259128809E-1,-1.230511665E0,1.461258678E0
9.193791180E-1,-5.901451111E-1,-4.861649275E-1,-1.293774605E0,1.502824114E0
9.244487020E-1,-6.262040138E-1,-3.326645195E-1,-1.351887703E0,1.526563956E0
9.295182330E-1,-6.091241837E-1,-2.100968957E-1,-1.342236519E0,1.488882752E0
9.345959930E-1,-5.664653778E-1,-1.076059937E-1,-1.345226288E0,1.463590052E0
9.396658890E-1,-5.306100845E-1,7.071554661E-3,-1.316678524E0,1.419591281E0
9.447358370E-1,-5.024828911E-1,1.208406091E-1,-1.260664940E0,1.362485816E0
9.498057850E-1,-4.766087532E-1,1.571915746E-1,-1.249571800E0,1.346586343E0
9.548757330E-1,-4.341502190E-1,2.081301808E-1,-1.089208603E0,1.190873614E0
9.599225040E-1,-3.837146759E-1,2.618293762E-1,-8.969988823E-1,1.010147796E0
9.649914100E-1,-3.573999405E-1,3.110272884E-1,-8.051071167E-1,9.341681653E-1
9.700603160E-1,-4.072856903E-1,3.356019258E-1,-6.725172997E-1,8.548624477E-1
9.751292230E-1,-4.267272949E-1,3.179581761E-1,-6.317801476E-1,8.260385831E-1
9.801976600E-1,-4.193739891E-1,3.012592793E-1,-6.288866997E-1,8.137138177E-1
9.852665140E-1,-3.911862373E-1,2.273529172E-1,-6.732683182E-1,8.111758438E-1
9.903354200E-1,-3.318324089E-1,8.128279448E-2,-6.621603966E-1,7.451013562E-1
9.954043270E-1,-2.759346962E-1,-3.401881456E-2,-7.006182671E-1,7.537660064E-1
1.000481879E0,-2.258176804E-1,-8.790928125E-2,-6.623582840E-1,7.052943803E-1
1.005551202E0,-7.686614990E-2,-7.719337940E-2,-4.684858322E-1,4.809846129E-1
1.010620525E0,8.298587799E-2,-1.126060486E-1,-2.551512718E-1,2.909792942E-1
1.015689900E0,1.759572029E-1,-1.043168902E-1,-9.976863861E-3,2.047986539E-1
1.020750316E0,1.658296585E-1,8.063316345E-4,2.322826385E-1,2.854038367E-1
1.025819223E0,2.410984039E-1,6.050843000E-2,4.004015923E-1,4.712866915E-1
1.030888129E0,3.143153191E-1,4.561519623E-2,4.748678207E-1,5.712917933E-1
1.035956983E0,4.272465706E-1,-7.086712122E-2,2.792258263E-1,5.152949088E-1
